Complexity,Loss,Equation
1,8375.137,"x0"
3,3455.632,"x0 * 70.774315"
5,3455.5667,"(x0 * 70.774315) - -0.13811634"
6,3453.286,"(x0 * 70.774315) - inv(x2)"
8,3416.3354,"inv(x2) + (x0 * (70.774315 - x2))"
9,3363.2615,"(x0 + x0) * (inv(0.028495612) + inv(x2))"
11,3342.642,"((inv(0.023727003) - x2) + inv(-0.56747067)) * (x0 + x0)"
