Complexity,Loss,Equation
1,8375.137,"x0"
3,3456.3943,"72.08604 * x0"
5,3404.7673,"x0 * (69.649216 - x2)"
7,3326.466,"x0 * (78.26931 - (x2 + x2))"
9,3322.6904,"x0 * ((78.26931 + -1.568252) - (x2 + x2))"
10,3283.2327,"x0 * ((78.26931 + inv(x2)) - (x2 + x2))"
