Complexity,Loss,Equation
1,8375.137,"x0"
3,3455.4993,"x0 * 71.116615"
5,3395.001,"(71.116615 - x2) * x0"
6,3390.3447,"(inv(0.013836799) - x2) * x0"
7,3325.7092,"(39.034454 - x2) * (x0 + x0)"
9,3325.346,"((39.034454 - x2) + -0.05237426) * (x0 + x0)"
10,3239.6282,"((39.034454 - x2) + inv(x2)) * (x0 + x0)"
11,3207.3599,"((39.034454 - x2) + (-0.05237426 - x2)) * (x0 + x0)"
14,3189.6448,"((inv(x2) - inv(-0.02961381)) + (inv(x2) - x2)) * (x0 + x0)"
