Complexity,Loss,Equation
1,7.4729943,"x0"
3,4.465651,"x0 + x1"
5,1.4974363,"2.1944458 * (x0 + x1)"
7,1.4054357,"(x1 + (2.391814 * x0)) + x1"
9,1.4039607,"(((x0 + x0) * 1.2246553) + x1) + x1"
10,0.15905078,"(((inv(x2) + 0.5645033) * x0) + x1) * 2.2628875"
12,6.1233184e-14,"((((x0 * inv(x2)) + x1) * 3.0) + x0) - x1"
16,4.9843993e-14,"(((x1 + (x0 * inv(x2))) * 3.0) + (x0 - x1)) - (x0 - x0)"
